Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status
TRN,NAME,TWTF14,ON,1,0
BRN,NAME,BRN46,ON,2,0
BRN,NAME,BRN69,ON,3,0
LOAD,NAME,LOAD6,ON,4.1,0
TRN,NAME,TWTF39,ON,4,0
GEN,NAME,GEN3,ON,5,0
BRN,NAME,BRN89,ON,10,0
BRN,NAME,BRN78,ON,11,0
TRN,NAME,TWTF27,ON,12,0
GEN,NAME,GEN2,ON,13,0
BRN,NAME,BRN57,ON,18,0
BRN,NAME,BRN45,ON,19,0
LOAD,NAME,LOAD5,ON,20,0
LOAD,NAME,LOAD8,ON,23,0
