time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41
Time(s), VOLT 1 [BUS1 345.00], ANGL 1 [BUS1 345.00], VOLT 2 [BUS2 345.00], ANGL 2 [BUS2 345.00], VOLT 3 [BUS3 345.00], ANGL 3 [BUS3 345.00], VOLT 4 [BUS4 345.00], ANGL 4 [BUS4 345.00], VOLT 5 [BUS5 345.00], ANGL 5 [BUS5 345.00], VOLT 6 [BUS6 345.00], ANGL 6 [BUS6 345.00], VOLT 7 [BUS7 345.00], ANGL 7 [BUS7 345.00], VOLT 8 [BUS8 345.00], ANGL 8 [BUS8 345.00], VOLT 9 [BUS9 345.00], ANGL 9 [BUS9 345.00], FREQ 1 [BUS1 345.00], FREQ 2 [BUS2 345.00], FREQ 3 [BUS3 345.00], FREQ 5 [BUS5 345.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1, GREFGEN2, VREFGEN2, PELECGEN2, QELECGEN2, PMECHGEN2, GREFGEN3, VREFGEN3, PELECGEN3, QELECGEN3, PMECHGEN3, WPCMNDBESS5, WQCMNDBESS5, PELECBESS5, QELECBESS5
0.597996, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 7.16097e+06, 448.46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.77921e-09, 0.194983, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.68409e-07, -2.84217e-14, -3.02236e-05, -0.426673, 0.0114725
0.647995, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 7.76337e+06, 662.26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 1.57393e-15, 0.198861, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.68351e-07, -2.84217e-14, -3.02236e-05, 0, -0
0.697995, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 8.36577e+06, 875.339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 4.9464e-10, 0.198451, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.68264e-07, -2.84217e-14, -3.02236e-05, 0, 0
0.747994, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 8.96817e+06, 1070.64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 2.80125e-16, 0.196046, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.68143e-07, -2.84217e-14, -3.02236e-05, 0, -0
0.797993, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 9.57057e+06, 1261.56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 6.60265e-11, 0.160204, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67991e-07, -2.84217e-14, -3.02236e-05, -0, 0
0.847993, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.0173e+07, 1350.51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 3.73922e-17, 0.0398291, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67807e-07, -2.84217e-14, -3.02236e-05, 0.303166, 0.00268452
0.897992, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.07754e+07, 1328.97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 8.81347e-12, -0.0588544, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67597e-07, -2.84217e-14, -3.02236e-05, -0, 0
0.947991, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.13778e+07, 1211.95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 4.99126e-18, -0.109792, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67363e-07, -2.84217e-14, -3.02236e-05, 0, 0
0.997991, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.19802e+07, 1063.68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 1.17646e-12, -0.13983, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67113e-07, -2.84217e-14, -3.02236e-05, 0, -0
0.999991, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.20043e+07, 1056.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 6.61756e-13, -0.149142, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67103e-07, -2.84217e-14, -3.02236e-05, 0, -0
0.999991, 0.992617, 0.0587722, 0.980179, 15.3192, 0.971925, 21.4885, 0, 0, 1.20043e+07, 1056.42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.97847e-43, 6.61756e-13, -0.149142, 0, 1.09237, 0, 0, 0, 0, 1.02919, 0, 0, 0, 1.68452e-07, 1.02052, 2.15618e-07, 8.48841e-08, 1.67103e-07, -2.84217e-14, -3.02236e-05, 0, -0
