time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37
Time(s), VOLT 1 [BUS1 345.00], ANGL 1 [BUS1 345.00], VOLT 2 [BUS2 345.00], ANGL 2 [BUS2 345.00], VOLT 3 [BUS3 345.00], ANGL 3 [BUS3 345.00], VOLT 4 [BUS4 345.00], ANGL 4 [BUS4 345.00], VOLT 5 [BUS5 345.00], ANGL 5 [BUS5 345.00], VOLT 6 [BUS6 345.00], ANGL 6 [BUS6 345.00], VOLT 7 [BUS7 345.00], ANGL 7 [BUS7 345.00], VOLT 8 [BUS8 345.00], ANGL 8 [BUS8 345.00], VOLT 9 [BUS9 345.00], ANGL 9 [BUS9 345.00], FREQ 1 [BUS1 345.00], FREQ 2 [BUS2 345.00], FREQ 3 [BUS3 345.00], FREQ 5 [BUS5 345.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1, GREFGEN2, VREFGEN2, PELECGEN2, QELECGEN2, PMECHGEN2, GREFGEN3, VREFGEN3, PELECGEN3, QELECGEN3, PMECHGEN3
0.597996, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 1.42918e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -4.73481e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.647995, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 1.67794e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -3.8807e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.697995, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 1.93115e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -3.16655e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.747994, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 2.18398e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -2.57338e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.797993, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 2.43167e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -2.08364e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.847993, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 2.66968e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -1.68147e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.897992, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 2.89379e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -1.35279e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.947991, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.10019e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -1.08535e-09, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.997991, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.28552e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -8.68584e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
0.999991, 0.989459, 1.88805, 0.974256, 4.46366, 0.955523, 6.46172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6.95044e-43, 0, 0, 0, 0, 1.0889, 6.21786e-08, -1.88622e-06, 3.29246e-08, -3.01532e-08, 1.02297, -5.78941e-08, -4.51942e-09, -8.60836e-10, 4.42123e-08, 1.0033, 5.65918e-08, 6.40952e-09, 4.42123e-08
