Device Type,Identification Type,Identification Value,Action Type,Action Time,Action Status,Values
TRN,NAME,TWTF1_4,ON,2,0,{}
LOAD,NAME,LOAD4C,ON,2.016666667,0,{}
GEN,NAME,GEN1,UPDATE,2.033333333,0,{'P': 10}
LOAD,NAME,LOAD4B,ON,4,0,{}
GEN,NAME,GEN1,UPDATE,4.016666667,0,{'P': 18}
BRN,NAME,BRN4_5,ON,6,0,{}
LOAD,NAME,LOAD5A,ON,6.016666667,0,{}
GEN,NAME,GEN1,UPDATE,6.033333333,0,{'P': 25}
LOAD,NAME,LOAD4A,ON,8,0,{}
GEN,NAME,GEN1,UPDATE,8.016666667,0,{'P': 30}
BRN,NAME,BRN5_6,ON,10,0,{}
LOAD,NAME,LOAD6C,ON,10.01666667,0,{}
GEN,NAME,GEN1,UPDATE,10.03333333,0,{'P': 40}
LOAD,NAME,LOAD6A,ON,12,0,{}
GEN,NAME,GEN1,UPDATE,12.01666667,0,{'P': 50}
TRN,NAME,TWTF3_6,ON,14,0,{}
LOAD,NAME,LOAD6B,ON,14.01666667,0,{}
GEN,NAME,GEN1,UPDATE,14.03333333,0,{'P': 60}
GEN,NAME,GEN3,ON,16,0,{}
GEN,NAME,GEN1,UPDATE,16.01666667,0,{'P': 63.84}
BRN,NAME,BRN4_9,ON,18,0,{}
LOAD,NAME,LOAD9C,ON,18.01666667,0,{}
GEN,NAME,GEN1,UPDATE,18.03333333,0,{'P': 73.84}
LOAD,NAME,LOAD9B,ON,20,0,{}
GEN,NAME,GEN1,UPDATE,20.01666667,0,{'P': 79.84}
BRN,NAME,BRN8_9,ON,22,0,{}
LOAD,NAME,LOAD8C,ON,22.01666667,0,{}
GEN,NAME,GEN1,UPDATE,22.03333333,0,{'P': 88.84}
LOAD,NAME,LOAD8A,ON,24,0,{}
GEN,NAME,GEN1,UPDATE,24.01666667,0,{'P': 91.84}
TRN,NAME,TWTF2_8,ON,26,0,{}
GEN,NAME,GEN2,ON,28,0,{}
GEN,NAME,GEN1,UPDATE,28.01666667,0,{'P': 101.44}
BRN,NAME,BRN7_8,ON,30,0,{}
BRN,NAME,BRN6_7,ON,34,0,{}
GEN,NAME,GEN1,UPDATE,56,0,{'P': 91.2}
GEN,NAME,GEN3,UPDATE,56.01666667,0,{'P': 6.4}
GEN,NAME,GEN1,UPDATE,58,0,{'P': 78.4}
GEN,NAME,GEN3,UPDATE,58.01666667,0,{'P': 19.2}
GEN,NAME,GEN1,UPDATE,60,0,{'P': 65.6}
GEN,NAME,GEN3,UPDATE,60.01666667,0,{'P': 32}
LOAD,NAME,LOAD8B,ON,62,0,{}
GEN,NAME,GEN1,UPDATE,62.01666667,0,{'P': 65.8}
GEN,NAME,GEN3,UPDATE,62.03333333,0,{'P': 44.8}
LOAD,NAME,LOAD5B,ON,64,0,{}
GEN,NAME,GEN1,UPDATE,64.01666667,0,{'P': 65}
GEN,NAME,GEN3,UPDATE,64.03333333,0,{'P': 57.6}
LOAD,NAME,LOAD8D,ON,66,0,{}
GEN,NAME,GEN1,UPDATE,66.01666667,0,{'P': 64.2}
GEN,NAME,GEN3,UPDATE,66.03333333,0,{'P': 70.4}
LOAD,NAME,LOAD5D,ON,68,0,{}
GEN,NAME,GEN1,UPDATE,68.01666667,0,{'P': 64.4}
GEN,NAME,GEN3,UPDATE,68.03333333,0,{'P': 83.2}
GEN,NAME,GEN1,UPDATE,70,0,{'P': 51.6}
GEN,NAME,GEN3,UPDATE,70.01666667,0,{'P': 96}
GEN,NAME,GEN1,UPDATE,72,0,{'P': 38.8}
GEN,NAME,GEN3,UPDATE,72.01666667,0,{'P': 108.8}
GEN,NAME,GEN1,UPDATE,74,0,{'P': 26}
GEN,NAME,GEN3,UPDATE,74.01666667,0,{'P': 121.6}
GEN,NAME,GEN1,UPDATE,76,0,{'P': 19.6}
GEN,NAME,GEN3,UPDATE,76.01666667,0,{'P': 128}
GEN,NAME,GEN2,UPDATE,88,0,{'P': 19.2}
GEN,NAME,GEN3,UPDATE,88.01666667,0,{'P': 118.8}
LOAD,NAME,LOAD9D,ON,90,0,{}
GEN,NAME,GEN2,UPDATE,90.01666667,0,{'P': 38.8}
GEN,NAME,GEN3,UPDATE,90.03333333,0,{'P': 115.2}
LOAD,NAME,LOAD7A,ON,92,0,{}
GEN,NAME,GEN2,UPDATE,92.01666667,0,{'P': 54.8}
LOAD,NAME,LOAD9A,ON,94,0,{}
GEN,NAME,GEN2,UPDATE,94.01666667,0,{'P': 57}
GEN,NAME,GEN3,UPDATE,94.03333333,0,{'P': 128}
LOAD,NAME,LOAD7B,ON,96,0,{}
GEN,NAME,GEN2,UPDATE,96.01666667,0,{'P': 72}
LOAD,NAME,LOAD5C,ON,98,0,{}
GEN,NAME,GEN2,UPDATE,98.01666667,0,{'P': 99.8}
GEN,NAME,GEN3,UPDATE,98.03333333,0,{'P': 115.2}
GEN,NAME,GEN2,UPDATE,100,0,{'P': 112.6}
GEN,NAME,GEN3,UPDATE,100.0166667,0,{'P': 102.4}
