time, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Time(s), VOLT 1 [BUS1 16.500], ANGL 1 [BUS1 16.500], VOLT 2 [BUS2 230.00], ANGL 2 [BUS2 230.00], FREQ 1 [BUS1 16.500], FREQ 2 [BUS2 230.00], FREQ 3 [BUS3 230.00], GREFGEN1, VREFGEN1, PELECGEN1, QELECGEN1, PMECHGEN1
-0.002, 1.01118, 0.245679, 0, 0, 0, 0, 0, 0, 1.11281, 0, 0, 0
0.048, 1.01118, 0.245679, 0, 0, 2.33174e-16, 0, 0, 0, 1.11281, 0, 0, 0
0.098, 1.01118, 0.245679, 0, 0, 1.32052e-22, 0, 0, 0, 1.11281, 0, 0, 0
0.148, 1.01118, 0.245679, 0, 0, 7.47838e-29, 0, 0, 0, 1.11281, 0, 0, 0
0.198, 1.01118, 0.245679, 0, 0, 4.23517e-35, 0, 0, 0, 1.11281, 0, 0, 0
0.248, 1.01118, 0.245679, 0, 0, 2.39538e-41, 0, 0, 0, 1.11281, 0, 0, 0
0.298, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.347999, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.397998, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.447998, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.497997, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.547997, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.597996, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.647995, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.697995, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.747994, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.797993, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.847993, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.897992, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.947991, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.997991, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.999991, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
0.999991, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.04999, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.1, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.15, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.2, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.25, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.3, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.35001, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.40001, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.45001, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.50001, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
1.55002, 1.01118, 0.245679, 0, 0, 4.82047e-43, 0, 0, 0, 1.11281, 0, 0, 0
